"预测日期","目标日期","排名","代码","名称","市场","预测类型","预测逻辑","触发条件","失效条件","收盘价","涨跌幅","是否触发","是否失效","复盘结果","复盘备注","是否计入准确率"
"2026/6/14","2026/6/15","10","9660.HK","地平线机器人-W","港股","弹性观察","AI/机器人高弹性观察，验证是否跟随主线","强于恒指并出现短线承接","跌破短线支撑","4.65","-1.06%","否","否","未命中","根据复盘报告重建。没有体现AI/机器人弹性，暂不纳入执行。","是"
"2026/6/14","2026/6/15","11","2432.HK","越疆","港股","弹性观察","机器人高弹性观察，验证是否有短线共振","强于恒指并有承接","冲高回落或弱于机器人链","28.34","1.65%","是","否","部分命中","根据复盘报告重建。小幅修复但强度一般。","是"
"2026/6/14","2026/6/15","4","0981.HK","中芯国际","港股","核心承接","港股半导体主线，观察是否继续站稳短线平台","站稳短线平台且强于同类","跌破短线平台下方","76.65","6.98%","是","否","命中","根据复盘报告重建。港股半导体主线兑现，第一梯队命中。","是"
"2026/6/14","2026/6/15","5","1810.HK","小米集团-W","港股","稳健观察","AI终端/智能硬件方向，观察是否走强","继续放量且强于恒指","冲高回落且弱于港股科技","26.26","0.23%","否","否","未命中","根据复盘报告重建。未体现主线强度，降为观察。","是"
"2026/6/14","2026/6/15","9","9880.HK","优必选","港股","弹性观察","机器人高弹性方向，观察是否继续发酵","高弹性方向发酵且强于恒指","冲高回落或跌破短线支撑","113.50","6.27%","是","否","命中","根据复盘报告重建。高弹性兑现，命中。","是"
"2026/6/15","2026/6/16","2","0981.HK","中芯国际","港股","核心承接","半导体主线兑现后观察76-77港元附近能否站稳","站稳76-77港元且强于同类","跌回76港元下方","74.00","-3.46%","否","是","未命中","收盘74.00，较前日-3.46%，跌回76港元下方，核心承接判断失效。","是"
"2026/6/15","2026/6/16","8","06613.HK","蓝思科技H","港股","弹性进攻","港股AI硬件强势后看次日承接","继续放量且强于恒指并不冲高回落","明显跌回前日突破位","27.82","5.62%","是","否","命中","收盘27.82，较前日+5.62%，延续放量强势且收盘接近高位。","是"
"2026/6/16","2026/6/17","3","06613.HK","蓝思科技H","港股","非规则票","港股AI硬件延续强势，核心短线继续上攻","站稳27.5并强于恒指","跌破26.8或冲高回落","28.28","7.37%","是","否","命中","非原交易规则票。收盘28.28，较前日+7.37%，强于恒指并站稳27.5。","是"
"2026/6/17","2026/6/18","3","06613.HK","蓝思科技H","港股","弹性进攻","AI硬件/消费电子强势后观察是否继续放量上冲","站稳27.5-28.0，突破29.1更强","跌回27.0且冲高回落明显","29.96","+5.94%","是","否","命中","收盘29.96港元，较前日+5.94%，站稳27.5-28.0并突破29.1，弹性进攻确认命中。此前误把昨收28.28录成今日收盘，已更正。","是"
"2026/6/21","2026/6/22","2","06613.HK","蓝思科技H","港股","弹性进攻","AI硬件和人工智能消费政策共振，观察强势后能否继续站稳","守住29.5-30.0且强于恒科；突破31更强","跌回29.0且冲高回落明显","27.52","-8.14%","是","是","未命中","2026-06-22高开至31上方后收27.52，-8.14%；盘中一度触发突破31，但收盘跌回29下方且冲高回落明显，弹性进攻失效。","是"
"2026/6/21","2026/6/22","8","09880.HK","优必选","港股","非规则票","人工智能消费和机器人政策催化下的港股机器人弹性观察","强于恒科并站稳近期短线平台","高开冲高回落或跌破短线支撑","105.00","-3.05%","否","是","未命中","非规则票。2026-06-22收盘105.00港元，-3.05%；高开后回落，未体现强于恒科的机器人弹性，博弈失败。","是"
"2026/7/8","2026/7/9","1","09988.HK","阿里巴巴-W","港股","稳健观察","7月8日港股科技主线集体修复，阿里巴巴-W收107.50，日内从96.55低位拉回，成交显著放大；属于本轮港股互联网修复的核心锚。高波动后只看回踩承接，不追高。","最佳买点：回踩102.5-105.0不破，重新站回108.5；若高开超过4%，等30分钟后仍守105且尾盘站回108.5。","跌破100.0降级；放量跌破96.5视为失效。若冲高112上方后收盘跌回105下方，按未命中处理。","108.00","+0.47%","否","否","部分命中","收盘108.00；低点107.50高于102.5-105承接区，但收盘未站回108.5触发位。守承接但未完成确认，记部分命中。","是"
"2026/7/8","2026/7/9","2","00700.HK","腾讯控股","港股","稳健观察","腾讯控股7月8日收478.80，互联网龙头中波动低于阿里和快手，是港股科技修复中的稳健样本；适合作为恒科强弱的核心观察票。","最佳买点：回踩468-474不破，重新站回482；若直接冲490上方，不追，只看尾盘是否站稳482。","跌破462降级；放量跌破456视为失效。若恒科转弱且腾讯收回474下方，按未触发处理。","469.60","-1.92%","否","否","部分命中","收盘469.60；低点467.20接近468-474承接区下沿，未跌破462降级线，但收盘未站回482触发位，记部分命中。","是"
"2026/7/8","2026/7/9","3","00981.HK","中芯国际","港股","稳健观察","港股中芯国际7月8日收75.80，日内最高79.50后回落，半导体映射明确但上影线较长；只适合看回踩不破后的收盘确认。","最佳买点：回踩73.5-75.0不破，重新站回77.0；若盘中上79但收盘低于77，不算升级。","跌破72.0降级；放量跌破70.0视为失效。若A股半导体弱化且港股SMIC低于75，降低权重。","83.55","+10.22%","是","否","命中","收盘83.55；低点76.65守住73.5-75承接区上方，收盘站上77触发位，港股半导体兑现。","是"
"2026/7/8","2026/7/9","4","01810.HK","小米集团-W","港股","条件观察-AI终端/汽车","小米集团-W 7月8日收25.30，科技消费和汽车链修复弹性较强；但日内涨幅大，明天只能等回踩承接，不直接追。","升级条件：回踩24.3-24.8不破，14:30后站回25.6；若高开超过4%且30分钟内跌回25下方，不买。","跌破23.8降级；放量跌破23.3视为失效。若恒科强但小米弱于指数，不升级。","25.00","-1.19%","否","否","部分命中","收盘25.00；低点24.48守住24.3-24.8承接区，但收盘未站回25.6升级位，记部分命中。","是"
"2026/7/8","2026/7/9","5","01024.HK","快手-W","港股","条件观察-互联网弹性","快手-W 7月8日收43.98，日内高低波动大，属于互联网修复中的高弹性分支；可观察但不作为稳健主仓。","升级条件：回踩42.0-43.0不破，尾盘站回44.6；若只盘中冲高、收盘低于43，不升级。","跌破41.0降级；放量跌破40.0视为失效。若互联网板块只有阿里独强，快手不升级。","42.10","-4.27%","否","否","部分命中","收盘42.10；低点42.02守住42-43承接区下沿，未跌破40失效位，但未站回44.6升级位，记部分命中。","是"
"2026/7/8","2026/7/9","6","03690.HK","美团-W","港股","条件观察-互联网消费","美团-W 7月8日收80.90，修复力度落后阿里但走势较稳；适合作为互联网消费线是否扩散的条件观察样本。","升级条件：回踩78.0-79.5不破，尾盘站回81.5；若收盘仍低于80，不升级。","跌破77.5降级；放量跌破75.5视为失效。若消费互联网弱于恒科，放弃。","78.50","-2.97%","否","否","部分命中","收盘78.50；低点78.20在78-79.5承接区内，未站回81.5升级位，记部分命中。","是"
"2026/7/8","2026/7/9","7","01347.HK","华虹半导体","港股","非规则观察-半导体弹性","华虹半导体7月8日收186.10，日内最高198后明显回落，弹性强但波动也大；作为半导体情绪样本记录，不作为稳健票。","只看回踩178-184不破后重新站回190；若高开冲198附近后回落，不追。","跌破174降级；放量跌破170视为失效。若收盘低于184，按非规则观察未兑现。","201.80","+8.44%","是","否","命中","收盘201.80；低点183.40落在178-184承接区，收盘站上190触发位，半导体弹性兑现。","是"
