代码,名称,市场,方向,当前层级,提醒条件,降级条件,来源,更新时间
002837,英维克,A股,液冷/算力,核心执行池,站稳85.5或回踩84.5-85.0不破后再拉回,跌破84或放量跌破81,历史预测+午后核心,2026-06-25
002156,通富微电,A股,半导体封测,核心执行池,站稳78或回踩77.0-77.5不破后再拉回,跌破76.5或放量跌破72,历史预测+午后核心,2026-06-25
002549,凯美特气,A股,电子特气,核心执行池,守住19.5且尾盘站上19.7,跌破19.2或放量跌破18.8,历史预测+午后核心,2026-06-25
300476,胜宏科技,A股,PCB/AI服务器,核心执行池,回踩345-348不破且尾盘站回351,跌破342或放量长阴,午后新增,2026-06-25
688120,华海清科,A股,半导体设备,核心执行池,回踩246-248不破且站回250,跌破244或弱于半导体设备链,午后新增,2026-06-25
300502,新易盛,A股,CPO/光模块,强势观察池,回踩580-585不破且站回590,跌破575或冲高回落放量,午后新增,2026-06-25
002436,兴森科技,A股,PCB/封装基板,强势观察池,尾盘不跌回51.5并站稳52,跌破51.5或弱于PCB链,历史预测+午后恢复观察,2026-06-25
002409,雅克科技,A股,半导体材料,强势观察池,回踩176-178不破后二次拉回,跌破176或炸板不能回封,明日预测+午后观察,2026-06-25
688256,寒武纪,A股,AI芯片,强势观察池,回踩1470-1480不破后再上攻,跌破1450或放量回落,午后新增,2026-06-25
600105,永鼎股份,A股,光通信,强势观察池,回踩70-71不破或继续封强,跌破70或炸板后不能收回,历史预测+午后观察,2026-06-25
600522,中天科技,A股,光通信,强势观察池,站稳67.5或回踩65-66不破,跌破64或弱于光通信链,历史预测+午后观察,2026-06-25
002475,立讯精密,A股,AI终端/消费电子,原规则票保留池,重新站回75并强于消费电子,跌破72或弱于消费电子大票,历史预测,2026-06-25
600703,三安光电,A股,化合物半导体/LED,原规则票保留池,重新站稳21.8或尾盘回封,跌破21或不能收回20.5,历史预测,2026-06-25
600584,长电科技,A股,半导体封测,原规则票保留池,开板后快速回封或强封不炸,炸板后不能回封,午后替代观察,2026-06-25
600114,东睦股份,A股,机器人/高端制造,降级观察池,收盘站回43.2并放量,跌破41或继续弱于主线,历史预测,2026-06-25
300308,中际旭创,A股,CPO/光模块,降级观察池,重新站回1320并强于CPO链,跌破1280或弱于新易盛,午后观察,2026-06-25
300394,天孚通信,A股,CPO/光模块,降级观察池,重新站回325并强于光模块链,跌破312或弱于新易盛,午后观察,2026-06-25
000636,风华高科,A股,被动元件/电子元件,降级观察池,重新站回72-74并强于电子元件,跌破70或继续放量走弱,历史预测,2026-06-25
002050,三花智控,A股,机器人/热管理,降级观察池,重新站回44.8-45.0并强于机器人链,跌破43或弱于主线,历史预测,2026-06-25
600176,中国巨石,A股,材料/玻纤,强势观察池,回踩不破前一日强势区并尾盘收回,高开低走或放量长上影,历史预测,2026-06-25
002709,天赐材料,A股,锂电材料,暂停评分,重新站稳短线均线且板块回暖,跌破关键均线或锂电继续弱,历史预测,2026-06-25
002149,西部材料,A股,材料/军工材料,暂停评分,放量站稳平台并强于材料链,冲高回落且未站稳平台,历史预测,2026-06-25
300316,晶盛机电,A股,半导体设备/高端制造,强势观察池,站稳短线平台并强于半导体设备,跌破平台或高开回落,历史预测,2026-06-25
603662,柯力传感,A股,机器人传感器,观察池,放量承接且强于机器人链,冲高回落或弱于机器人链,历史预测,2026-06-25
000547,航天发展,A股,军工/商业航天,暂停评分,板块情绪回暖且放量站回关键位,不能转强或跌回关键位,历史预测,2026-06-25
300058,蓝色光标,A股,AI传媒,暂停评分,放量站稳15.3-15.5并强于传媒,跌破14.8且量能继续走弱,历史预测,2026-06-25
301269,华大九天,A股,EDA/国产软件,观察池,放量站上短线均线并强于半导体软件,跌回短线均线下方,历史预测,2026-06-25
688333,铂力特,A股,3D打印/高端制造,暂停评分,缩量回踩不破强势区并尾盘收回,高开低走或放量长上影,历史预测,2026-06-25
0981.HK,中芯国际,港股,港股半导体,观察池,收盘重新站稳80并强于恒科/半导体港股,跌回关键平台且弱于恒科,历史预测,2026-06-25
06613.HK,蓝思科技H,港股,AI硬件/消费电子,观察池,重新站回29且强于恒科,跌破短线平台或冲高回落,历史预测,2026-06-25
1810.HK,小米集团-W,港股,AI终端/智能硬件,观察池,重新站回短线均线且强于港股科技,冲高回落且弱于港股科技,历史预测,2026-06-25
09880.HK,优必选,港股,机器人,非规则观察池,强于恒科并站稳近期短线平台,高开冲高回落或跌破短线支撑,历史预测,2026-06-25
9880.HK,优必选,港股,机器人,非规则观察池,强于恒科并站稳近期短线平台,高开冲高回落或跌破短线支撑,历史预测,2026-06-25
9660.HK,地平线机器人-W,港股,AI/机器人,非规则观察池,强于恒指并出现短线承接,跌破短线支撑,历史预测,2026-06-25
2432.HK,越疆,港股,机器人,非规则观察池,强于恒指并有承接,冲高回落或弱于机器人链,历史预测,2026-06-25
