"目标日期","预测日期","总数","命中","部分命中","未命中","严格命中率","调整后命中率","严格加权命中率","调整后加权命中率","核心承接命中","核心承接总数","稳健观察命中","稳健观察总数","弹性进攻命中","弹性进攻总数","其他类型命中","其他类型总数","最佳预测","最差预测","主要误差","策略提醒","下一步规则调整","报告文件"
"2026-06-15","2026-06-14","11","6","2","3","54.5%","63.6%","62.8%","69.9%","3","3","0","1","0","1","3","6","晶盛机电; 中芯国际; 三花智控; 优必选","小米集团-W; 天赐材料; 地平线机器人-W","主线方向判断准确，但第二梯队和情绪票分化明显","是","第二梯队增加相对强弱过滤；情绪票只记录热度不直接升级执行","reports/观察池复盘_2026-06-15.md"
"2026-06-16","2026-06-15","8","4","3","1","50.0%","68.8%","42.9%","62.5%","0","2","2","3","2","3","0","0","永鼎股份; 蓝思科技H; 中天科技; 英维克","中芯国际","核心承接票隔日承接偏乐观；部分方向正确但未给理想执行点","是","核心承接票增加收盘翻红/不失守关键价位二次确认；弹性进攻拆分方向正确与执行触发点","reports/预测命中复盘_2026-06-16.md"
"2026-06-17","2026-06-16","6","5","0","1","83.3%","83.3%","83.3%","83.3%","0","0","0","0","0","0","5","6","中国巨石; 蓝思科技H; 东睦股份; 英维克; 天赐材料","蓝色光标","非规则进攻票整体命中较高，但AI传媒补涨未兑现；中国巨石虽命中但已明显加速","否","非规则票继续单独统计，不纳入交易规则胜率；对加速票增加不追高提醒","reports/预测命中复盘_2026-06-17.md"
"2026-06-18","2026-06-17","7","6","1","0","85.7%","92.9%","83.9%","91.9%","1","2","2","2","3","3","0","0","蓝思科技H; 兴森科技; 中天科技; 通富微电; 东睦股份","英维克","蓝思科技H此前误把昨收28.28录为今日收盘；正确为收盘29.96、+5.94%、命中。英维克盘中突破但收盘翻绿，仍只记部分命中。","否","维持收紧版规则；核心承接继续要求收盘翻红确认，弹性票继续要求收盘站位确认。","reports/预测命中复盘_2026-06-18.md"
"2026-06-22","2026-06-21","12","5","1","6","41.7%","45.8%","41.1%","45.2%","1","2","1","2","2","3","1","5","中天科技; 通富微电; 英维克; 兴森科技; 三安光电","蓝思科技H; 东睦股份; 优必选; 铂力特; 华大九天; 立讯精密","规则票主要错在高开回落与核心承接失效；非规则博弈票分化更大，只有三安光电兑现。","是","规则票总命中率低于60%、加权命中率低于65%，下一交易日收紧：高开超过3%且30分钟不能守触发区不追；核心承接盘中跌破失效位且放量直接降级；港股弹性票必须收盘守住触发下沿。","reports/预测命中复盘_2026-06-22.md"
"2026-06-23","2026-06-22","6","1","3","2","16.7%","41.7%","16.4%","45.1%","0","1","1","3","0","2","0","0","中天科技; 英维克; 三安光电; 永鼎股份","兴森科技; 通富微电","弹性进攻票承接失败，PCB/封装基板和半导体封测回落明显；强势票高开冲高后收盘确认不足，核心承接需继续防高开回落。","是","规则票严格命中率16.7%、调整后加权命中率45.1%，均低于阈值；下一交易日继续收紧：弹性进攻只接受回踩不破后收盘确认，高开票必须不低于开盘价或收在振幅上半区，核心承接必须收盘站稳触发位。适用于算力液冷、光通信、半导体/PCB强势链；若规则票连续两日调整后命中率回到70%以上且无跌破失效位，可解除收紧。","reports/预测命中复盘_2026-06-23.md"
"2026-06-24","2026-06-23","6","3","2","1","50.0%","66.7%","44.4%","64.3%","0","1","2","4","1","1","0","0","三安光电; 立讯精密; 凯美特气","东睦股份; 中天科技; 英维克","规则票整体方向改善，但高波动下盘中跌破降级线较多；稳健/核心票收盘触发确认仍不够充分。","是","规则票严格命中率50.0%、调整后加权命中率64.3%，仍触发收紧：核心承接必须收盘站稳触发位，稳健票盘中跌破降级线只能最多部分命中，弹性票继续压低仓位并要求收在振幅上半区。适用于光通信、液冷/算力、半导体和消费电子强势链；若后续连续两日规则票调整后加权命中率回到70%以上且核心承接无降级，可逐步放宽。","reports/预测命中复盘_2026-06-24.md"
"2026-06-25","2026-06-24","6","3","3","0","50.0%","75.0%","39.4%","69.7%","0","2","1","2","2","2","0","0","通富微电; 英维克; 凯美特气","立讯精密; 三安光电; 雅克科技","方向判断改善，但核心承接仍未给收盘转强确认；高开票缺少合理回踩买点，严格命中率被压低。","是","规则票严格命中率50.0%低于60%，但调整后加权命中率69.7%已回到65%以上；下一交易日维持收紧而不继续升级：核心承接必须收盘站稳触发位，高开超过3%的加速票不追，弹性票只在回踩不破或收在振幅上半区时确认。适用于消费电子、化合物半导体、电子特气、封测、液冷/算力方向；若连续两日调整后加权命中率高于70%且核心票不再降级，可逐步放宽。","reports/预测命中复盘_2026-06-25.md"
"2026-06-26","2026-06-25","6","1","0","5","16.7%","16.7%","15.2%","15.2%","0","2","1","2","0","2","0","0","华海清科","通富微电; 胜宏科技; 新易盛; 英维克; 凯美特气","半导体/AI硬件高位加速后集体回撤，预测仍偏重强势延续；核心承接与弹性票缺少收盘确认，只有半导体设备分支独立走强。","是","规则票严格命中率16.7%、调整后加权命中率15.2%，下一交易日进入更严格收紧：核心承接必须先回踩不破再收盘站回触发位；弹性进攻暂停追突破，只接受低吸后收盘确认；高位AI硬件和半导体链降低仓位。适用于封测、PCB/CPO、液冷算力、电子特气等高位科技线；若连续两日规则票调整后加权命中率回到70%以上且无失效票，可逐步解除。","reports/预测命中复盘_2026-06-26.md"
"2026-06-29","2026-06-28","9","4","0","5","44.4%","44.4%","47.4%","47.4%","1","1","2","3","0","0","1","5","华海清科; 北方华创; 雅克科技; 多氟多","三安光电; 宗申动力; 柯力传感; 三花智控; 中航沈飞","盘前预测中半导体设备/材料主线兑现，但化合物半导体、军工防御、机器人、低空经济等非主线方向未跟随；午后新增票已单独统计，不再混入本表。","否","主策略以规则票统计为准，规则票3/4命中，暂不新增收紧；非规则票参与全量命中率但不触发主策略放宽或收紧。","reports/预测命中复盘_2026-06-29.md"
